A1, A4, A5, A6, A7, A9, A10, A12, A13, Class
b,y,p,m,v,f,f,t,g,NEG
b,u,g,aa,v,f,f,f,g,NEG
b,u,g,aa,v,f,f,t,g,NEG
b,u,g,k,v,f,f,t,g,NEG
b,u,g,i,bb,f,f,t,g,NEG
?,y,p,cc,v,f,f,t,g,NEG
b,y,p,aa,v,f,f,t,g,NEG
a,u,g,aa,h,f,f,f,g,NEG
b,y,p,w,v,f,f,t,g,NEG
b,u,g,cc,v,f,f,t,g,NEG
a,u,g,c,v,f,f,f,g,NEG
b,u,g,aa,v,f,f,t,g,NEG
b,u,g,k,h,f,f,t,g,NEG
a,u,g,ff,ff,f,t,f,g,NEG
b,u,g,i,bb,f,f,f,g,NEG
a,u,g,q,v,f,t,t,g,NEG
a,u,g,i,v,f,f,t,s,NEG
b,u,g,i,v,t,f,t,g,NEG
a,u,g,q,v,f,t,t,g,NEG
a,y,p,ff,ff,f,f,f,g,NEG
b,u,g,c,h,f,t,t,g,NEG
a,u,g,aa,v,f,f,f,g,NEG
a,u,g,c,v,f,f,f,g,NEG
a,u,g,c,v,f,t,t,g,NEG
b,u,g,aa,v,f,f,f,g,NEG
b,u,g,c,v,f,f,f,g,NEG
a,u,g,w,v,f,f,t,g,NEG
b,y,p,cc,v,f,f,t,g,NEG
b,y,p,w,v,f,f,f,s,NEG
b,y,p,m,v,f,f,f,g,NEG
a,u,g,c,v,f,f,t,g,NEG
a,u,g,c,v,f,t,t,g,NEG
b,u,g,d,h,f,f,t,s,NEG
b,y,p,ff,ff,f,f,f,g,NEG
b,u,g,w,v,f,f,f,g,NEG
b,u,g,cc,v,f,f,f,g,NEG
a,u,g,aa,v,f,f,t,g,NEG
?,y,p,e,h,f,f,f,g,NEG
a,u,g,i,h,f,f,f,g,NEG
a,u,g,aa,v,f,f,f,g,NEG
a,u,g,q,h,f,t,t,g,NEG
b,u,g,m,v,f,t,f,g,NEG
a,u,g,ff,ff,f,f,f,g,NEG
a,u,g,c,v,f,f,f,g,NEG
b,u,g,k,v,f,f,f,g,NEG
b,y,p,d,h,f,f,f,g,NEG
b,u,g,i,v,f,f,t,g,NEG
b,y,p,d,v,f,f,f,g,NEG
b,u,g,m,v,f,f,t,s,NEG
b,y,p,e,h,f,f,f,g,NEG
a,u,g,c,v,f,t,t,g,NEG
a,y,p,ff,ff,f,t,t,g,NEG
b,u,g,aa,v,f,f,f,g,NEG
b,u,g,c,h,f,f,t,g,NEG
